parameter,value
stop_at_first_result,False
c_name,(-)-Epigallocatechin_3'-O-glucuronide
c_smiles,
c_inchi,"InChI=1S/C21H22O13/c22-7-3-9(23)8-5-11(25)18(32-12(8)4-7)6-1-10(24)14(26)13(2-6)33-21-17(29)15(27)16(28)19(34-21)20(30)31/h1-4,11,15-19,21-29H,5H2,(H,30,31)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,10
TIME_EXECUTION,1992.71
STOP_REASON,iteration
NUMBER_ITERATION,999
