parameter,value
stop_at_first_result,False
c_name,Peonidin_3-O-sophoroside
c_smiles,
c_inchi,"InChI=1S/C28H32O16/c1-39-16-4-10(2-3-13(16)32)25-17(7-12-14(33)5-11(31)6-15(12)40-25)41-28-26(23(37)21(35)19(9-30)43-28)44-27-24(38)22(36)20(34)18(8-29)42-27/h2-7,18-24,26-30,34-38H,8-9H2,1H3,(H2-,31,32,33)/p+1"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,37
TIME_EXECUTION,1110.94
STOP_REASON,iteration
NUMBER_ITERATION,999
