parameter,value
stop_at_first_result,False
c_name,Lithospermic_acid
c_smiles,
c_inchi,"InChI=1S/C27H22O12/c28-15-5-1-12(9-18(15)31)10-20(26(34)35)38-21(33)8-4-13-2-7-17(30)25-22(13)23(27(36)37)24(39-25)14-3-6-16(29)19(32)11-14/h1-9,11,20,23-24,28-32H,10H2,(H,34,35)(H,36,37)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,12
TIME_EXECUTION,47.85
STOP_REASON,iteration
NUMBER_ITERATION,999
