parameter,value
stop_at_first_result,False
c_name,Daidzin_4'-O-glucuronide
c_smiles,
c_inchi,"InChI=1S/C27H28O15/c28-8-16-18(30)19(31)22(34)26(41-16)40-12-5-6-13-15(7-12)38-9-14(17(13)29)10-1-3-11(4-2-10)39-27-23(35)20(32)21(33)24(42-27)25(36)37/h1-7,9,16,18-24,26-28,30-35H,8H2,(H,36,37)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,4
TIME_EXECUTION,16.98
STOP_REASON,iteration
NUMBER_ITERATION,999
