parameter,value
stop_at_first_result,False
c_name,Pelargonidin_3-O-(6''-malonyl-glucoside)
c_smiles,
c_inchi,"InChI=1S/C24H22O13/c25-11-3-1-10(2-4-11)23-16(7-13-14(27)5-12(26)6-15(13)35-23)36-24-22(33)21(32)20(31)17(37-24)9-34-19(30)8-18(28)29/h1-7,17,20-22,24,31-33H,8-9H2,(H3-,25,26,27,28,29)/p+1"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,18
TIME_EXECUTION,250.45
STOP_REASON,iteration
NUMBER_ITERATION,999
