parameter,value
stop_at_first_result,False
c_name,Rosmarinic_acid
c_smiles,
c_inchi,"InChI=1S/C18H16O8/c19-12-4-1-10(7-14(12)21)3-6-17(23)26-16(18(24)25)9-11-2-5-13(20)15(22)8-11/h1-8,16,19-22H,9H2,(H,24,25)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,4
TIME_EXECUTION,17.86
STOP_REASON,iteration
NUMBER_ITERATION,999
