parameter,value
stop_at_first_result,False
c_name,4-O-Methyldelphinidin_3-O-D-glucoside
c_smiles,
c_inchi,"InChI=1S/C22H22O12/c1-31-21-12(26)2-8(3-13(21)27)20-15(6-10-11(25)4-9(24)5-14(10)32-20)33-22-19(30)18(29)17(28)16(7-23)34-22/h2-6,16-19,22-23,28-30H,7H2,1H3,(H3-,24,25,26,27)/p+1/t16-,17-,18+,19-,22-/m1/s1"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,39
TIME_EXECUTION,837.44
STOP_REASON,iteration
NUMBER_ITERATION,999
