parameter,value
stop_at_first_result,False
c_name,"1,5-Diferuloylquinic_acid"
c_smiles,
c_inchi,"InChI=1S/C27H28O12/c1-36-20-11-15(3-7-17(20)28)5-9-23(31)38-22-14-27(26(34)35,13-19(30)25(22)33)39-24(32)10-6-16-4-8-18(29)21(12-16)37-2/h3-12,19,22,25,28-30,33H,13-14H2,1-2H3,(H,34,35)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,3
TIME_EXECUTION,21.49
STOP_REASON,iteration
NUMBER_ITERATION,999
