parameter,value
stop_at_first_result,False
c_name,4'-O-Methyldelphinidin_3-O-rutinoside
c_smiles,
c_inchi,"InChI=1S/C28H32O16/c1-9-19(33)21(35)23(37)27(41-9)40-8-18-20(34)22(36)24(38)28(44-18)43-17-7-12-13(30)5-11(29)6-16(12)42-25(17)10-3-14(31)26(39-2)15(32)4-10/h3-7,9,18-24,27-28,33-38H,8H2,1-2H3,(H3-,29,30,31,32)/p+1"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,25
TIME_EXECUTION,443.64
STOP_REASON,iteration
NUMBER_ITERATION,999
