parameter,value
stop_at_first_result,False
c_name,Quercetin_3-O-rutinoside
c_smiles,
c_inchi,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,29
TIME_EXECUTION,532.14
STOP_REASON,iteration
NUMBER_ITERATION,999
