parameter,value
stop_at_first_result,False
c_name,Gallagic_acid
c_smiles,
c_inchi,"InChI=1S/C28H12O16/c29-5-1-3-7(17(33)15(5)31)9-13-11-12-14(28(40)44-23(11)19(35)21(9)41-25(3)37)10-8-4(2-6(30)16(32)18(8)34)26(38)42-22(10)20(36)24(12)43-27(13)39/h1-2,9,21,29-36H"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,0
TIME_EXECUTION,15.49
STOP_REASON,iteration
NUMBER_ITERATION,999
