parameter,value
stop_at_first_result,False
c_name,2-Hydroxyenterodiol
c_smiles,
c_inchi,"InChI=1S/C18H22O5/c19-10-14(7-12-3-1-5-16(21)8-12)15(11-20)9-13-4-2-6-17(22)18(13)23/h1-6,8,14-15,19-23H,7,9-11H2"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,10
TIME_EXECUTION,77.38
STOP_REASON,iteration
NUMBER_ITERATION,999
