parameter,value
stop_at_first_result,False
c_name,(-)-Epigallocatechin_7-O-glucuronide
c_smiles,
c_inchi,"InChI=1S/C21H22O13/c22-9-3-7(32-21-17(29)15(27)16(28)19(34-21)20(30)31)4-13-8(9)5-12(25)18(33-13)6-1-10(23)14(26)11(24)2-6/h1-4,12,15-19,21-29H,5H2,(H,30,31)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,3
TIME_EXECUTION,995.83
STOP_REASON,iteration
NUMBER_ITERATION,999
