parameter,value
stop_at_first_result,False
c_name,Tigloylgomicin_H
c_smiles,
c_inchi,"InChI=1S/C28H36O8/c1-9-17(14-29)15-36-27-22-18(11-20(31-4)25(27)34-7)10-16(2)28(3,30)13-19-12-21(32-5)24(33-6)26(35-8)23(19)22/h9,11-12,14,16,30H,10,13,15H2,1-8H3"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,0
TIME_EXECUTION,10.41
STOP_REASON,iteration
NUMBER_ITERATION,999
