parameter,value
stop_at_first_result,False
c_name,"3'-Hydroxy-3,4,5,4'-tetramethoxystilbene"
c_smiles,
c_inchi,"InChI=1S/C17H18O5/c1-21-16-6-5-11(8-14(16)19)3-4-12-7-13(10-18)17(22-2)15(20)9-12/h3-9,18-20H,10H2,1-2H3"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,106
TIME_EXECUTION,3356.67
STOP_REASON,iteration
NUMBER_ITERATION,999
