parameter,value
stop_at_first_result,False
c_name,4'-O-Methyl-(-)-epigallocatechin_7-O-glucuronide
c_smiles,
c_inchi,"InChI=1S/C22H24O13/c1-32-19-11(24)2-7(3-12(19)25)18-13(26)6-9-10(23)4-8(5-14(9)34-18)33-22-17(29)15(27)16(28)20(35-22)21(30)31/h2-5,13,15-18,20,22-29H,6H2,1H3,(H,30,31)"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,0
TIME_EXECUTION,16.34
STOP_REASON,iteration
NUMBER_ITERATION,999
