parameter,value
stop_at_first_result,False
c_name,Stevenin
c_smiles,
c_inchi,"InChI=1S/C16H12O5/c1-20-15-8-14-12(6-13(15)18)11(7-16(19)21-14)9-3-2-4-10(17)5-9/h2-8,17-18H,1H3"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,66
TIME_EXECUTION,2063.56
STOP_REASON,iteration
NUMBER_ITERATION,999
