parameter,value
stop_at_first_result,False
c_name,Peonidin_3-O-xyloside
c_smiles,
c_inchi,"InChI=1S/C21H20O10/c1-28-15-4-9(2-3-12(15)24)20-16(30-21-19(27)18(26)17(8-22)31-21)7-11-13(25)5-10(23)6-14(11)29-20/h2-7,17-19,21-22,26-27H,8H2,1H3,(H2-,23,24,25)/p+1"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,52
TIME_EXECUTION,1401.34
STOP_REASON,iteration
NUMBER_ITERATION,999
