parameter,value
stop_at_first_result,False
c_name,Cyanidin_3-O-xylosyl-rutinoside
c_smiles,
c_inchi,"InChI=1S/C32H38O19/c1-10-21(38)24(41)27(44)30(47-10)46-9-20-23(40)25(42)29(51-31-26(43)22(39)17(37)8-45-31)32(50-20)49-19-7-13-15(35)5-12(33)6-18(13)48-28(19)11-2-3-14(34)16(36)4-11/h2-7,10,17,20-27,29-32,37-44H,8-9H2,1H3,(H3-,33,34,35,36)/p+1"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,26
TIME_EXECUTION,341.67
STOP_REASON,iteration
NUMBER_ITERATION,999
