parameter,value
stop_at_first_result,False
c_name,6-Hydroxyenterodiol
c_smiles,
c_inchi,"InChI=1S/C18H22O5/c19-10-14(6-12-2-1-3-16(21)7-12)15(11-20)8-13-9-17(22)4-5-18(13)23/h1-5,7,9,14-15,19-23H,6,8,10-11H2"
fire_timeout,5.0
organism_name,none
complementary_sink,
itermax,1000
expansion_width,10
time_budget,28800
max_depth,7
minimal_visit_counts,1
UCT_policy,Biochemical_UCT_1
UCTK,20.0
bias_k,0.0
k_rave,0.0
use_RAVE,False
penalty,-1
full_state_reward,2
Rollout_policy,Rollout_policy_random_uniform_on_biochemical_multiplication_score
max_rollout,3
chemical_scoring,SubstrateChemicalScorer
biological_score_cut_off,0.1
substrate_only_score_cut_off,0.6
chemical_score_cut_off,0.6
virtual_visits,0
progressive_bias_strategy,max_reward
progressive_widening,False
diameter,"[6, 8, 10, 12, 14, 16]"
EC_filter,
tree_to_complete,
found_pathways,4
TIME_EXECUTION,28.13
STOP_REASON,iteration
NUMBER_ITERATION,999
